"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,recruitment,,text,"Record ID",,,,,,,,,,,,,
mrn,recruitment,,text,MRN,,,,,,y,,,,,,,
name_last,recruitment,,text,"Last name",,"Auto-populated with Epic data",,,,y,,,,,,,
name_first,recruitment,,text,"First name",,"Auto-populated with Epic data",,,,y,,,,,,,
dob,recruitment,,text,"Date of birth",,"Auto-populated with Epic data",,,,y,,,,,,,
sex,recruitment,,radio,Sex,"1, Male | 2, Female","Auto-populated with Epic data",,,,y,,,,,,,
clinic_site,recruitment,,radio,"Site of Consent ","1, Site 1 | 2, Site 2 | 3, Site 3",,,,,,,,,,,,
physician,recruitment,,dropdown,"Enrolling Physician ","1, Physician 1 | 2, Physician 2 | 3, Physician 3 | 4, Physician 4 | 5, Physician 5",,,,,,,,,,,,
coordinator,recruitment,,dropdown,"Enrolling research coordinator ","1, Coordinator A | 2, Coordinator B | 3, Coordinator C | 4, Coordinator D",,,,,,,,,,,,
rsource,preenrollment_contact,,radio,"Recruitment Source","1, Epic Scheduler | 2, Advertising | 3, Phone | 4, Referral | 5, In person clinic visit | 6, Email",,,,,,,,,,,,
date_contact,preenrollment_contact,,text,"Date of contact ",,,date_dmy,,,,,,,,,,
schvdate,preenrollment_contact,,text,"Scheduled Visit Date ",,,date_dmy,,,,,,,,,,
method,preenrollment_contact,,radio,"Method of Contact","1, Phone | 2, Email | 3, In Person",,,,,,,,,,,,
required,preenrollment_contact,,radio,"Is another contact required?","1, Yes | 2, No",,,,,,,,,,,,
contact,preenrollment_contact,,radio,"Reason for contact","1, Patient was unavailable | 2, Patient is interested but unsure | 3, Patient requested rescheduled call",,,,,,"[required] = '1'",,,,,,
otherreason,preenrollment_contact,,notes,"Other reason for contact",,,,,,,,,,,,,
contactbydate,preenrollment_contact,,text,"Please contact patient by this date:",,,date_dmy,,,,"[required] = '1'",,,,,,
pavail,preenrollment_contact,,text,"Patient Availability ",,,,,,,"[required] = '1'",,,,,,
rptcontact,preenrollment_contact,,radio,"Result for patient contact ","1, Enrolled | 2, Not interested",,,,,,"[required] = '2'",,,,,,
enroll_date,preenrollment_contact,,text,"Date of enrollment ",,,date_dmy,,,,"[rptcontact] = '1'",,,,,,
dateconsent,preenrollment_contact,,text,"Expected date of consent ",,,date_dmy,,,,"[rptcontact] = '2'",,,,,,
rinterest,preenrollment_contact,,text,"Reason for lost interest ",,,,,,,"[rptcontact] = '3'",,,,,,
withdraw_date,preenrollment_contact,,text,"Date of withdrawal",,,date_dmy,,,,"[rptcontact] = '3'",,,,,,
rother,preenrollment_contact,,notes,"Reason Other ",,,,,,,"[rptcontact] = '3'",,,,,,
contactnotes,preenrollment_contact,,notes,"Contact Notes ",,,,,,,,,,,,,
pmi_id_test,enrollment_verification,HealthPro,text,"PMI ID ",,"Please copy from HealthPro. MRN from Epic is [mrn].",,,,,,,,,,,
fnamehp,enrollment_verification,,text,"First Name",,"Please copy from HealthPro.  First name from Epic is [name_first].",,,,,,,,,,,
lnamehp,enrollment_verification,,text,"Last Name ",,"Please copy from HealthPro.  Last name from Epic is [name_last].",,,,,,,,,,,
bid,enrollment_verification,,text,"Biobank ID",,"Please copy from HealthPro.",,,,,,,,,,,
dofbhp,enrollment_verification,,text,"DOB ",,"Please copy from HealthPro.  DOB from Epic is [dob].",date_dmy,,,,,,,,,,
genhp,enrollment_verification,,radio,"Gender Identity ","1, Female | 2, Male","Please copy from HealthPro.  Gender from Epic is [sex].",,,,,,,,,,,
withdrawn_hp,enrollment_verification,,radio,"Withdrawal Status ","1, Withdrawn | 2, Not Withdrawn","Please copy from HealthPro.",,,,,,,,,,,
cenrollment,enrollment_verification,"WCM CREST",radio,"Enrollment Status ","1, Adverse Event/ Unacceptable Toxicity/ Intercurrent Illness | 2, Completed | 3, Death on Study | 4, Disease progression | 5, Enrolled | 6, Ineligible | 7, No Reason Specified in Legacy System | 8, Non-compliant | 9, Screen Fail | 10, Withdrew Consent | 11, Wrong Subject","This value will populate CREST and Epic.",,,,,,,,,,,
pcontactdateehr,reminder_ehr_consent,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
contactmethodehr,reminder_ehr_consent,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contact_notes_ehr,reminder_ehr_consent,,notes,"Contact Notes ",,,,,,,,,,,,,
reminder_ehr,reminder_ehr_consent,,radio,"Is a reminder needed?","1, Yes | 2, No",,,,,,,,,,,,
fupdateehr,reminder_ehr_consent,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminder_ehr] = '1'",,,,,,
reminder_note_ehr,reminder_ehr_consent,,notes,"Reminder Notes ",,,,,,,"[reminder_ehr] = '1'",,,,,,
contactdatephy,reminder_physical_evaluation,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
methodphy,reminder_physical_evaluation,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contactnotesphy,reminder_physical_evaluation,,notes,"Contact Notes ",,,,,,,,,,,,,
needcallphy,reminder_physical_evaluation,,radio,"Is a reminder needed?","1, Yes | 2, No",,,,,,,,,,,,
fupphy,reminder_physical_evaluation,,text,"Date to follow up with patient ",,,date_dmy,,,,"[needcallphy] = '1'",,,,,,
remindernotesphy,reminder_physical_evaluation,,notes,"Reminder Notes",,,,,,,"[needcallphy] = '1'",,,,,,
premdate,reminder_biospecimen_collection,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
biomethodcontact,reminder_biospecimen_collection,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contactnotes1,reminder_biospecimen_collection,,notes,"Contact Notes",,,,,,,,,,,,,
needcall,reminder_biospecimen_collection,,radio,"Is a reminder needed?","1, Yes | 2, No",,,,,,,,,,,,
fupbiodate,reminder_biospecimen_collection,,text,"Date to follow up with patient",,,date_dmy,,,,"[needcall] = '1'",,,,,,
biocontactnotes,reminder_biospecimen_collection,,notes,"Reminder Notes",,,,,,,"[needcall] = '1'",,,,,,
pcontacthealthppi,reminder_health_ppi_completion,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
methodhppi,reminder_health_ppi_completion,,radio,"Method of Contact","1, Phone | 2, E-mail",,,,,,,,,,,,
cnoteshppi,reminder_health_ppi_completion,,notes,"Contact Notes",,,,,,,,,,,,,
reminder_hppi,reminder_health_ppi_completion,,radio,"Is a reminder needed?","1, Yes | 2, No",,,,,,,,,,,,
fuphppi,reminder_health_ppi_completion,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminder_hppi] = '1'",,,,,,
hppi_reminder_notes,reminder_health_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminder_hppi] = '1'",,,,,,
pcontactlife,reminder_lifestyle_ppi_completion,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
